Name,Power,Type,PP,Accuracy,Effect,Effect Chance,Target,Description,Category,
Pound,40,Normal,35,100,Normal Hit,0,One Opponent Pokemon,,Physical,
Karate Chop,50,Fighting,25,100,Critical Hit,0,One Opponent Pokemon,,Physical,
Double Slap,15,Normal,10,85,Hit 2-5x,0,One Opponent Pokemon,,Physical,
Mega Punch,80,Normal,20,85,Normal Hit,0,One Opponent Pokemon,,Physical,
Pay Day,40,Normal,20,100,Earn money,100,One Opponent Pokemon,,Physical,
Fire Punch,75,Fire,15,100,Burn,10,One Opponent Pokemon,,Special,
Ice Punch,75,Ice,15,100,Freeze,10,One Opponent Pokemon,,Special,
Thunder Punch,75,Electric,15,100,Parlyze,10,One Opponent Pokemon,,Special,
Scratch,40,Normal,35,100,Normal Hit,0,One Opponent Pokemon,,Physical,
Guillotine,1,Normal,5,30,1 Hit K.O,0,One Opponent Pokemon,,Physical,
Razor Wind,80,Normal,10,100,Raise Critical chance,0,Both Opponent Pokemon,,Physical,
Swords Dance,0,Normal,5,0,Raise Attack sharply,0,Your two Pokemon,,Non-Damaging,
Cut,50,Normal,30,100,Normal Hit,0,One Opponent Pokemon,,Physical,
Gust,40,Flying,35,100,Hit's bounce/fly,0,One Opponent Pokemon,,Physical,
Wing Attack,60,Flying,35,100,Normal Hit,0,One Opponent Pokemon,,Physical,
Whirlwind,0,Normal,5,100,Scare Opp./Switch PKMN,0,One Opponent Pokemon,,Non-Damaging,
Fly,70,Flying,15,95,Fly/Bounce/Dig,0,One Opponent Pokemon,,Physical,
Bind,15,Normal,20,100,2-5 Hits + Lower Evas.,100,One Opponent Pokemon,,Physical,
Slam,80,Normal,20,75,Normal Hit,0,One Opponent Pokemon,,Physical,
Vine Whip,35,Grass,10,100,Normal Hit,0,One Opponent Pokemon,,Special,
Stomp,65,Normal,20,100,Flinch 2x on minimized,30,One Opponent Pokemon,,Physical,
Double Kick,30,Fighting,30,100,Hit 2x,0,One Opponent Pokemon,,Physical,
Mega Kick,120,Normal,5,75,Normal Hit,0,One Opponent Pokemon,,Physical,
